OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PCT_RENTER_OCC_UNITS,HCV_PUBLIC_PCT,SHAPE_Length,SHAPE_Area
66889,37001021204,37,001,021204,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.320990484265596,0.00336473951482484
66890,37183053712,37,183,053712,133,"Raleigh-Durham-Cary, NC  ",,,,0.074546903475016,0.000333686263283833
66891,37083930800,37,083,930800,133,"Raleigh-Durham-Cary, NC  ",53,10.10000038,10.10000038,1.09641219215112,0.0354766222360733
66892,37083930100,37,083,930100,133,"Raleigh-Durham-Cary, NC  ",47,8.65999985,8.65999985,0.408596185052001,0.00599779306714196
66893,37063001710,37,063,001710,133,"Raleigh-Durham-Cary, NC  ",28,3.73000002,3.73000002,0.0916301531636992,0.000381446886281486
66963,37067004103,37,067,004103,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.165008142949634,0.00141533526349904
66964,37067002904,37,067,002904,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.305257949992178,0.00365169623094324
66965,37183054206,37,183,054206,133,"Raleigh-Durham-Cary, NC  ",,,,0.132221120747959,0.000906782626581515
66966,37183053805,37,183,053805,133,"Raleigh-Durham-Cary, NC  ",,,,0.233970932826389,0.0013064702866108
66967,37193961100,37,193,961100,66,"Greensboro--Winston-Salem--High Point, NC  ",78,13.09000015,13.09000015,0.377911416559592,0.0028480476655533
66968,37193960200,37,193,960200,66,"Greensboro--Winston-Salem--High Point, NC  ",11,3.67000008,3.67000008,0.750699525611106,0.0150655679785867
66969,37193960500,37,193,960500,66,"Greensboro--Winston-Salem--High Point, NC  ",49,10.69999981,10.69999981,0.240207913228305,0.00188267515281408
67035,37057060302,37,057,060302,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.200388022732527,0.00165714133145767
67036,37067004011,37,067,004011,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.159406316142625,0.00108997701004591
67037,37067003314,37,067,003314,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.186542697956487,0.00111603936077789
67038,37067003313,37,067,003313,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.198538955396505,0.00142226895336287
67039,37067003702,37,067,003702,66,"Greensboro--Winston-Salem--High Point, NC  ",19,5.13999987,5.13999987,0.110236655758956,0.000556965423175444
67040,37041930102,37,041,930102,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",12,6.32000017,6.32000017,0.568553971182312,0.0112850562892641
67041,37067003107,37,067,003107,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.234592182246224,0.00164874288926805
67042,37067004104,37,067,004104,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.172868562949318,0.00152739070961948
67043,37193960300,37,193,960300,66,"Greensboro--Winston-Salem--High Point, NC  ",47,7.78999996,7.78999996,0.49925251647694,0.00831571929975819
67044,37193960100,37,193,960100,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.630081273245657,0.0151323949837986
67045,37193961200,37,193,961200,66,"Greensboro--Winston-Salem--High Point, NC  ",20,3.71000004,3.71000004,1.02251816542111,0.0356583904860992
67046,37067003403,37,067,003403,66,"Greensboro--Winston-Salem--High Point, NC  ",24,3.4000001,3.4000001,0.130718316310848,0.000762026220757234
67047,37067003404,37,067,003404,66,"Greensboro--Winston-Salem--High Point, NC  ",62,7.90999985,7.90999985,0.130449268214417,0.0004652977786816
67048,37083930300,37,083,930300,133,"Raleigh-Durham-Cary, NC  ",57,7.69999981,7.69999981,0.128266352741342,0.000654611443879951
